,game,platform,genre,release_date,metascore
0,Animal Crossing: New Horizons,Switch,Simulation,2020,90
1,Xenoblade Chronicles: Definitive Edition,Switch,RPG,2020,89
2,DOOM Eternal,Switch,Action,2020,88
3,Risk of Rain 2,Switch,Action,2020,85
4,Streets of Rage 4,Switch,Casual,2020,84
5,Spiritfarer,Switch,Casual,2020,84
6,51 Worldwide Classics,Switch,Casual,2020,82
7,Creaks,Switch,Casual,2020,81
8,Kentucky Route Zero,Switch,Casual,2020,81
9,Urban Flow,Switch,Puzzle,2020,80
10,WRC 9,Switch,Driving,2020,80
11,The Last Campfire,Switch,Casual,2020,79
12,Wide Ocean Big Jacket,Switch,Casual,2020,79
13,Paper Mario: The Origami King,Switch,Adventure,2020,79
14,Neon Abyss,Switch,Platformer,2020,79
15,Good Job!,Switch,Action,2020,78
16,THE WONDERFUL 101: REMASTERED,Switch,Adventure,2020,78
17,Moving Out,Switch,Casual,2020,77
18,Trials of Mana (2020),Switch,RPG,2020,76
19,DOOM 64 (2020),Switch,Action,2020,76
20,Carrion,Switch,Casual,2020,76
21,Shantae and the Seven Sirens,Switch,Platformer,2020,76
22,PGA TOUR 2K21,Switch,Simulation,2020,76
23,Samurai Shodown NeoGeo Collection,Switch,Action,2020,76
24,Spellbreak,Switch,Action,2020,75
25,Neversong,Switch,Casual,2020,75
26,Dungeon Defenders: Awakened,Switch,Strategy,2020,74
27,Minecraft: Dungeons,Switch,Adventure,2020,74
28,Saints Row: The Third Remastered,Switch,Adventure,2020,73
29,Beyond Blue,Switch,Adventure,2020,73
30,Prison Princess,Switch,Casual,2020,73
31,Cloudpunk,Switch,Casual,2020,73
32,Captain Tsubasa: Rise of New Champions,Switch,Casual,2020,73
33,Biped,Switch,Adventure,2020,72
34,Samurai Jack: Battle Through Time,Switch,Adventure,2020,71
